,Target,Student Price,Worker Price,Guest Price,Student Tax,Worker Tax,Guest Tax,Week,Year,x0_Friday,x0_Monday,x0_Thursday,x0_Tuesday,x0_Wednesday,x0_April,x0_August,x0_December,x0_February,x0_January,x0_July,x0_June,x0_March,x0_May,x0_November,x0_October,x0_September
2022-01-10,115.0,1.1343750000000001,1.17,1.17,0.0,0.07,0.07,0.03773584905660377,0.9863414634146341,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-11,122.0,1.1,1.17,1.17,0.0012844036697247708,0.07,0.07,0.03773584905660377,0.9863414634146341,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-12,115.0,1.1,1.17,1.17,0.0,0.07,0.07,0.03773584905660377,0.9863414634146341,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13,148.0,1.126829268292683,1.17,1.17,0.0011382113821138214,0.07,0.07,0.03773584905660377,0.9863414634146341,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-14,114.0,1.111340206185567,1.17,0.702,0.0014432989690721652,0.07,0.07,0.03773584905660377,0.9863414634146341,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-15,0.0,1.111340206185567,1.17,0.702,0.0014432989690721652,0.07,0.07,0.03773584905660377,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-16,0.0,1.111340206185567,1.17,0.702,0.0014432989690721652,0.07,0.07,0.03773584905660377,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-17,139.0,0.9923076923076923,1.17,1.17,0.008811188811188813,0.07,0.07,0.05660377358490566,0.9863414634146341,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-18,92.0,0.9625,1.17,1.17,0.005833333333333334,0.07,0.07,0.05660377358490566,0.9863414634146341,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-19,137.0,1.0586466165413535,1.17,1.17,0.0042105263157894745,0.07,0.07,0.05660377358490566,0.9863414634146341,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
