,Target Coffee,Target Milk Coffee,Target Cocoa,Target Tee,Target Coffee Time,Student Price Coffee,Worker Price Coffee,Guest Price Coffee,Student Price Milk Coffee,Worker Price Milk Coffee,Guest Price Milk Coffee,Student Price Cocoa,Worker Price Milk Cocoa,Guest Price Milk Cocoa,Student Price Tee,Worker Price Tee,Guest Price Tee,Student Price Coffee Time,Worker Price Coffee Time,Guest Price Coffee Time,Student Tax,Worker Tax,Guest Tax,Week,Year,x0_Friday,x0_Monday,x0_Saturday,x0_Sunday,x0_Thursday,x0_Tuesday,x0_Wednesday,x0_April,x0_August,x0_December,x0_February,x0_January,x0_July,x0_June,x0_March,x0_May,x0_November,x0_October,x0_September
2017-01-09,419.0,93.0,26.0,101.0,105.0,0.94,0.84,0.84,1.36,1.31,2.62,0.86,0.84,0.84,0.61,0.62,0.56,1.67,0.75,1.56,0.0,0.07,0.07,2.0,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-10,446.0,83.0,31.0,83.0,110.0,0.91,0.87,0.94,1.42,1.5,2.62,0.74,0.84,0.84,0.57,0.56,0.56,1.58,1.5,1.56,0.0,0.07,0.07,2.0,2017.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-11,451.0,111.0,25.0,121.0,99.0,0.92,1.01,1.12,1.4,1.31,2.62,0.77,0.84,0.84,0.63,0.65,0.56,1.55,1.5,1.56,0.0,0.07,0.07,2.0,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-12,411.0,97.0,29.0,92.0,126.0,0.94,0.91,0.84,1.42,1.44,1.31,0.9,0.42,1.26,0.6,0.67,0.56,1.59,1.5,1.56,0.0,0.07,0.07,2.0,2017.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-13,289.0,73.0,24.0,87.0,45.0,0.92,0.84,0.84,1.4,1.31,1.31,0.94,0.84,1.26,0.61,0.56,0.56,1.64,1.5,1.56,0.0,0.07,0.07,2.0,2017.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-14,0.0,0.0,0.0,0.0,0.0,0.92,0.84,0.84,1.4,1.31,1.31,0.94,0.84,1.26,0.61,0.56,0.56,1.64,1.5,1.56,0.0,0.07,0.07,2.0,2017.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-15,0.0,0.0,0.0,0.0,0.0,0.92,0.84,0.84,1.4,1.31,1.31,0.94,0.84,1.26,0.61,0.56,0.56,1.64,1.5,1.56,0.0,0.07,0.07,2.0,2017.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-16,474.0,106.0,26.0,98.0,121.0,0.93,0.87,0.84,1.38,1.31,1.31,0.82,2.52,1.26,0.59,0.25,0.56,1.55,1.5,1.56,0.0,0.07,0.07,3.0,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-17,473.0,81.0,27.0,120.0,136.0,0.92,0.94,0.84,1.42,1.41,1.31,0.64,2.52,1.26,0.59,0.25,0.56,1.58,1.5,1.56,0.0,0.07,0.07,3.0,2017.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-18,440.0,87.0,31.0,108.0,123.0,0.88,1.08,0.84,1.46,1.31,1.31,0.9,2.52,1.26,0.58,0.25,0.56,1.7,1.5,1.56,0.0,0.07,0.07,3.0,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
