,Target Coffee,Target Milk Coffee,Target Cocoa,Target Tee,Target Coffee Time,Student Price Coffee,Worker Price Coffee,Guest Price Coffee,Student Price Milk Coffee,Worker Price Milk Coffee,Guest Price Milk Coffee,Student Price Cocoa,Worker Price Milk Cocoa,Guest Price Milk Cocoa,Student Price Tee,Worker Price Tee,Guest Price Tee,Student Price Coffee Time,Worker Price Coffee Time,Guest Price Coffee Time,Student Tax,Worker Tax,Guest Tax,Week,Year,x0_Friday,x0_Monday,x0_Saturday,x0_Sunday,x0_Thursday,x0_Tuesday,x0_Wednesday,x0_April,x0_August,x0_December,x0_February,x0_January,x0_July,x0_June,x0_March,x0_May,x0_November,x0_October,x0_September,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,precipitation,is_holiday,is_lecture_free,is_covid,is_winter,is_summer
2024-10-18,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,42.0,2024.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.316666666666668,9.13,15.26,1015.0,91.0,11.62,113.0,1.16,0.0,0.0,0.0,1.0,0.0
2024-10-19,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,42.0,2024.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.64,11.16,16.91,1019.0,91.0,5.81,0.0,2.18,0.0,0.0,0.0,1.0,0.0
2024-10-20,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,42.0,2024.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.33,9.94,14.4,1023.0,88.0,7.15,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-10-21,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,43.0,2024.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.423333333333332,11.93,18.76,1027.0,85.0,8.05,0.0,0.32,0.0,0.0,0.0,1.0,0.0
2024-10-22,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,43.0,2024.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.329999999999998,10.23,15.68,1027.0,88.0,6.71,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-10-23,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,43.0,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.403333333333334,5.68,13.54,1035.0,75.0,5.81,90.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-10-24,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,43.0,2024.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.486666666666665,8.36,15.06,1028.0,88.0,6.71,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-10-25,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,43.0,2024.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.57,10.21,15.92,1023.0,90.0,7.15,135.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-10-26,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,43.0,2024.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.976666666666667,7.75,17.03,1020.0,100.0,10.73,113.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-10-27,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,43.0,2024.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.933333333333332,10.18,13.77,1021.0,90.0,9.83,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-10-28,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,44.0,2024.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.663333333333334,10.92,14.32,1026.0,73.0,6.26,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-10-29,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,44.0,2024.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.543333333333335,10.51,16.13,1026.0,80.0,4.47,0.0,0.1,0.0,0.0,0.0,1.0,0.0
2024-10-30,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,44.0,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.873333333333333,10.24,13.84,1028.0,89.0,4.02,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-10-31,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,44.0,2024.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.716666666666667,9.75,14.21,1028.0,85.0,2.68,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-11-01,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,44.0,2024.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.303333333333333,8.31,11.24,1024.0,87.0,3.58,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-11-02,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,44.0,2024.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.896666666666667,5.32,10.98,1030.0,95.0,5.36,135.0,0.0,0.0,0.0,0.0,1.0,0.0
