,Target,Student Price,Worker Price,Guest Price,Student Tax,Worker Tax,Guest Tax,Week,Year,x0_Friday,x0_Monday,x0_Thursday,x0_Tuesday,x0_Wednesday,x0_April,x0_August,x0_December,x0_February,x0_January,x0_July,x0_June,x0_March,x0_May,x0_November,x0_October,x0_September,temp,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust,rain_1h,snow_1h,is_holiday,is_leacture_free
2022-10-01,0.0,1.1,1.2674999999999998,1.17,0.0,0.07,0.07,0.7358490566037735,0.986341463414634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.3420814258183919,-0.0858916767673924,-0.4063308212789985,-0.3552126839132836,-0.4438720334479009,-0.4152064744075853,1.1030561614056018,1.9429379110082377,0.5207557367793568,1.5973086394118956,1.583213148698939,-0.1905825430599761,0.0,0.0
2022-10-02,0.0,1.1,1.2674999999999998,1.17,0.0,0.07,0.07,0.7358490566037735,0.986341463414634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0596226516494615,0.4014508732261055,0.1363932555213465,0.4343724832023297,-0.2970785080406036,0.3345152274908046,1.2248804035254988,0.984812879773863,1.209440031613196,0.6007992030334566,0.6382059219505792,-0.1905825430599761,0.0,0.0
2022-10-03,0.0,1.1,1.2674999999999998,1.17,0.0,0.07,0.07,0.7547169811320755,0.986341463414634,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0353193038822126,0.1536789597255119,0.0078351188457999,0.2284642363364511,-0.1707678001319991,1.098562821782144,0.644997011034792,0.0481761407967236,1.6214139139324295,-0.3045660775786624,-0.569726702562445,-0.1905825430599761,1.0,0.0
2022-10-04,102.0,1.2467532467532467,1.0499999999999998,1.26,0.0,0.07,0.07,0.7547169811320755,0.986341463414634,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1236400799802043,-0.0375508163562162,-0.0356441432310777,-0.2660398210973519,0.188819440400605,0.936202707995225,0.29414319372949,-0.8598095418374352,-0.031119220023518,-0.5759731191939285,-0.607831832673266,-0.1905825430599761,0.0,0.0
2022-10-05,92.0,1.184,1.489090909090909,1.26,0.0,0.07,0.07,0.7547169811320755,0.986341463414634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1899735232830029,0.3331735752108721,0.1910514860047936,-0.1752456335029487,0.441440856217814,0.6544601576003005,0.3331269512078563,-0.0120753453363086,-0.2096670001656246,-0.122277766046021,-0.607831832673266,-0.1905825430599761,0.0,0.0
2022-10-06,95.0,1.232,1.26,1.26,0.0018666666666666,0.07,0.07,0.7547169811320755,0.986341463414634,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1875553534028753,0.2152218758076026,0.2653471078927008,-0.1752456335029487,0.3151301483092095,1.4662607265348448,0.0212568913809206,-0.6695749545013224,0.3824005305220532,0.420536317184511,-0.607831832673266,-0.1905825430599761,0.0,0.0
2022-10-07,75.0,1.180327868852459,1.26,1.26,0.0022950819672131,0.07,0.07,0.7547169811320755,0.986341463414634,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0115406333942918,0.1022709550675578,0.0888084431004632,-0.2936023423313671,0.2514058272021655,0.9839556826384426,0.3428728905774474,-0.7620588790202079,-0.617003277805842,-0.5759731191939285,-0.607831832673266,-0.1905825430599761,0.0,0.0
2022-10-08,0.0,1.180327868852459,1.26,1.26,0.0022950819672131,0.07,0.07,0.7547169811320755,0.986341463414634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1243950591528777,0.2668299116120854,0.181752167153311,-0.0974220441363173,0.125095119293561,0.6353589677430213,0.396475557110203,0.1048462448868838,0.9621011153990228,-0.3045660775786624,-0.5773477285846091,-0.1905825430599761,0.0,0.0
2022-10-09,0.0,1.180327868852459,1.26,1.26,0.0022950819672131,0.07,0.07,0.7547169811320755,0.986341463414634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.2283698659790613,-0.298591462576567,-0.2108967320119401,-0.5481503325513905,0.125095119293561,0.9505286003881876,-0.1639159566413214,0.4872114453465118,-1.859881331782064,0.6007992030334566,-0.5468636244959525,-0.1905825430599761,0.0,0.0
2022-10-10,88.0,1.1506849315068493,1.26,1.26,0.0,0.07,0.07,0.7735849056603774,0.986341463414634,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1490949372141801,0.2550280739668741,0.1518756321198252,0.1101075275080326,0.2627851702569949,0.3440658224194377,0.2307945878271432,-0.1745015544571754,-0.4554600481534596,0.0579851198029241,-0.5125690073962136,-0.1905825430599761,0.0,0.0
